City Name,Ward No,Ward Name,Name of healthcare facility,Type of facility,Latitude,Longitude
Pune,6,Kothrud-Bawdhan,Late. Jayabai Nanasaheb Sutar Maternity Home,Government hospital(PMC),18.503652,73.807762
Pune,6,Kothrud-Bawdhan,Late. Sundarabai Ganpatrao Raut Dawakhana,Government hospital(PMC),18.511578,73.820137
Pune,4,Aundh-Baner,Sanjay Gandhi Maternity Home,Government hospital(PMC),18.571104,73.838294
Pune,4,Aundh-Baner,Late. Sahadev Eknath Nimhan Maternity Home,Government hospital(PMC),18.537722,73.795979
Pune,4,Aundh-Baner,Aundh Kuti Maternity Home,Government hospital(PMC),18.562805,73.810015
Pune,4,Aundh-Baner,Late. Baburao Genba Shevale Dawakhana,Government hospital(PMC),18.562739,73.832653
Pune,15,Bibwewadi,Late. Indumati Manilal Khanna Dawakhana,Government hospital(PMC),18.492471,73.866599
Pune,15,Bibwewadi,Bharatratna Dr. Babasaheb Ambedkar Dawakhana,Government hospital(PMC),18.496225,73.870225
Pune,15,Bibwewadi,Yugpurush Raja Shiv Chatrapati Bibvewadi (Appar) Pune manapa,Government hospital(PMC),18.461404,73.868892
Pune,3,Dhole Patil,Rajeshree Shahu Maharaj Dawakhana,Government hospital(PMC),18.527713,73.907674
Pune,3,Dhole Patil,Late. Bapusaheb Genuji Kawade Patil Dawakhana,Government hospital(PMC),18.537819,73.898493
Pune,3,Dhole Patil,Dr. Naidu Hospital,Government hospital(PMC),18.53139,73.869151
Pune,1,Nagar Road-Wadgaonsheri,Late. Damodar Ravji Galande Patil Dawakhana,Government hospital(PMC),18.551841,73.896929
Pune,1,Nagar Road-Wadgaonsheri,Khrist. Rok Edward Poul Dawakhana,Government hospital(PMC),18.577003,73.899032
Pune,1,Nagar Road-Wadgaonsheri,Late. Lokshahir Annabhau Sathe Dawakhana,Government hospital(PMC),18.549598,73.890645
Pune,2,Yerwada-Kalas-Dhanori,Bharat Ratna Late. Rajiv Gandhi Maternity Home,Government hospital(PMC),18.545626,73.883893
Pune,2,Yerwada-Kalas-Dhanori,Late. Genba Tukaram Mhaske Dawakhana,Government hospital(PMC),18.578015,73.874962
Pune,2,Yerwada-Kalas-Dhanori,"Siddharth Dawakhana, Vishrantwadi",Government hospital(PMC),18.572164,73.878738
Pune,10,Hadapsar-Mundhawa,Late. Annasaheb Magar Maternity Home,Government hospital(PMC),18.503093,73.92653
Pune,10,Hadapsar-Mundhawa,Late. Sakharam Kundlik Kodre Maternity Home,Government hospital(PMC),18.53391,73.927257
Pune,11,Wanawadi-Ramtekdi,Late. Namdevrao Shivarkar Maternity Home,Government hospital(PMC),18.497237,73.89985
Pune,11,Wanawadi-Ramtekdi,Late. Minatai Thakare Maternity Home,Government hospital(PMC),18.475892,73.889505
Pune,11,Wanawadi-Ramtekdi,"PMC Dawakhana, Pune",Government hospital(PMC),18.485521,73.899035
Pune,7,Dhankawadi-Sahakarnagar,Late. Shivshankar Pote Dawakhana,Government hospital(PMC),18.4765,73.856033
Pune,13,Kasba-Vishrambagwada,Late. Matoshri Ramabai Ambedkar Maternity Home,Government hospital(PMC),18.50291,73.850023
Pune,13,Kasba-Vishrambagwada,Rajamata Jijau Maternity Home,Government hospital(PMC),18.4972131,73.8550317
Pune,13,Kasba-Vishrambagwada,Janta Vasahat Dawakhana,Government hospital(PMC),18.5041367,73.85130454
Pune,13,Kasba-Vishrambagwada,Kamala Nehru Hospital (General Hospital),Government hospital(PMC),18.52283,73.86199
Pune,13,Kasba-Vishrambagwada,Late. Anandibai Narhar Gadgil Dawakhana,Government hospital(PMC),18.502322,73.838387
Pune,13,Kasba- Vishrambagwada,"Hindu Ruday Samrat, Shivsena Pramukh, Balasheb Thakre Dawakhana",Government hospital(PMC),18.497456,73.853928
Pune,13,Kasba-Vishrambagwada,Late. Dadasaheb Gaikwad Dawakhana,Government hospital(PMC),18.524737,73.865131
Pune,13,Kasba-Vishrambagwada,Late. Kalavatibai Mavale Dawakhana,Government hospital(PMC),18.514826,73.84675
Pune,13,Kasba-Vishrambagwada,Late. Mukundrao Lele Dawakhana,Government hospital(PMC),18.519752,73.854411
Pune,14,Bhawani Peth,Bai Bhikayji Pestanji Bammanji Dawakhana,Government hospital(PMC),18.511186,73.870064
Pune,14,Bhawani Peth,Late. Chandu Mama Sonawane Maternity Home,Government hospital(PMC),18.505713,73.868817
Pune,14,Bhawani Peth,Late. Savitribai Phule Maternity Home,Government hospital(PMC),18.504876,73.86102
Pune,14,Bhawani Peth,Late.Malti Kachi Maternity Home,Government hospital(PMC),18.5121324,73.85800581
Pune,14,Bhawani Peth,Late. Rohidas Kirad Dawakhana,Government hospital(PMC),18.511242,73.868669
Pune,14,Bhawani Peth,Late. Kotnis Aarogya Kendra,Government hospital(PMC),18.511875,73.857932
Pune,14,Bhawani Peth,Late. Balaji Rakhmaji Gaikwad Dawakhana,Government hospital(PMC),18.509032,73.86526
Pune,14,Bhawani Peth,Late. Mamasaheb Badade Dawakhana,Government hospital(PMC),18.515515,73.867725
Pune,14,Bhawani Peth,Hutatma Babu Genu Dawakhana,Government hospital(PMC),18.515805,73.859786
Pune,5,Shivajinagar-Ghole Road,Dr. Dalvi Maternity Hospital,Government hospital(PMC),18.533046,73.84891
Pune,5,Shivajinagar-Ghole Road,Dr. Homi J. Bhabha Maternity Home,Government hospital(PMC),18.529152,73.833361
Pune,5,Shivajinagar-Ghole Road,Late. Jangalrao Kondiba Amrale Dawakhana,Government hospital(PMC),18.522728,73.852555
Pune,9,Warje-Karvenagar,Bindu Madhav Thakare Dawakhana,Government hospital(PMC),18.496497,73.816307
Pune,9,Warje-Karvenagar,Late. Arvind Ganpat Bartakke Dawakhana,Government hospital(PMC),18.488853,73.795542
Pune,9,Warje-Karvenagar,"Late. Prathak Barate Dawakhana, Warje Malwadi",Government hospital(PMC),18.4835225,73.79259612
Pune,9,Warje-Karvenagar,"Late. Tharkude Dawakhana, Erandwana",Government hospital(PMC),18.5066,73.832811
Pune,9,Warje-Karvenagar,Late. Vijayabai Shirke Aarogya Kendra,Government hospital(PMC),18.487103,73.815248
